RE,chp,state,city,fuel,technology,capacity_n,capacity_g,chp_capaci
DE09,no,Saarland,Bexbach,Hard coal,Steam turbine,721.0,780.0,0.0
DE09,no,Saarland,Ensdorf,Hard coal,Steam turbine,283.0,310.0,60.0
DE09,yes,Hessen,Breuberg,Natural gas,Steam turbine,11.4,0.0,0.0
DE09,yes,Hessen,Darmstadt,Natural gas,Gas turbine,10.0,0.0,0.0
DE09,yes,Hessen,R?sselheim,Natural gas,Combined cycle,112.1,113.9,88.0
DE09,yes,Hessen,Wiesbaden,Biomass and biogas,Steam turbine,6.7,0.0,0.0
DE09,yes,Hessen,Wiesbaden,Natural gas,Steam turbine,25.0,0.0,0.0
DE09,yes,Hessen,Wiesbaden,Waste,Steam turbine,10.5,0.0,0.0
DE09,yes,Rheinland-Pfalz,Annweiler,Natural gas,Steam turbine,28.0,0.0,0.0
DE09,yes,Rheinland-Pfalz,Bad Kreuznach,Natural gas,Steam turbine,10.7,0.0,0.0
DE09,yes,Rheinland-Pfalz,Kaiserslautern,Hard coal,Steam turbine,13.4,0.0,0.0
