class,Sink,Sink,Sink,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer
label,LD_DE153_dhg_hhg,LD_DE153_dhg_ind,LD_DE15_dhg_el,HPPek_1_DE152_dhg_gas,HPPek_1_DE152_dhg_gas,HPPek_2_DE152_dhg_hc,HPPek_2_DE152_dhg_hc,HPPek_3_DE152_dhg_gas,HPPek_3_DE152_dhg_gas
source,B_DE153_dhg_hhg,B_DE153_dhg_ind,B_DE15_dhg_el,HPPek_1_DE152_dhg_gas,HPPek_1_DE152_dhg_gas,HPPek_2_DE152_dhg_hc,HPPek_2_DE152_dhg_hc,HPPek_3_DE152_dhg_gas,HPPek_3_DE152_dhg_gas
target,LD_DE153_dhg_hhg,LD_DE153_dhg_ind,LD_DE15_dhg_el,B_DE152_dhg_el,B_DE152_dhg_gas_th,B_DE152_dhg_el,B_DE152_dhg_hc_th,B_DE152_dhg_el,B_DE152_dhg_gas_th
attribute,actual_value,actual_value,actual_value,conversion_factors,conversion_factors,conversion_factors,conversion_factors,conversion_factors,conversion_factors
2050-01-06 04:00:00+00:00,1,0.644071123,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 05:00:00+00:00,1,0.6474598003,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 06:00:00+00:00,1,0.6823016839,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 07:00:00+00:00,1,0.7437688896,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 08:00:00+00:00,1,0.780337821,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 09:00:00+00:00,1,0.7994661852,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 10:00:00+00:00,1,0.821839306,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 11:00:00+00:00,1,0.8430348942,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 12:00:00+00:00,1,0.8419881985,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 13:00:00+00:00,1,0.826366265,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 14:00:00+00:00,1,0.8097368869,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 15:00:00+00:00,1,0.7998979472,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 16:00:00+00:00,1,0.8117386924,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 17:00:00+00:00,1,0.8558176656,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 18:00:00+00:00,1,0.8527037459,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 19:00:00+00:00,1,0.8241289529,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 20:00:00+00:00,1,0.781070508,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 21:00:00+00:00,1,0.7565909121,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 22:00:00+00:00,1,0.738365323,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-06 23:00:00+00:00,1,0.6833614633,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 00:00:00+00:00,1,0.6344676898,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 01:00:00+00:00,1,0.6129450092,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 02:00:00+00:00,1,0.6041135142,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 03:00:00+00:00,1,0.6035770826,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 04:00:00+00:00,1,0.622653112,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 05:00:00+00:00,1,0.6495139407,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 06:00:00+00:00,1,0.7059439233,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 07:00:00+00:00,1,0.7791995395,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 08:00:00+00:00,1,0.8171553427,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 09:00:00+00:00,1,0.8351323416,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 10:00:00+00:00,1,0.8488963902,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 11:00:00+00:00,1,0.8620716725,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 12:00:00+00:00,1,0.8626735225,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 13:00:00+00:00,1,0.8499300022,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 14:00:00+00:00,1,0.8306184663,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 15:00:00+00:00,1,0.8234093496,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 16:00:00+00:00,1,0.8439900041,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 17:00:00+00:00,1,0.8782823723,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 18:00:00+00:00,1,0.869503212,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 19:00:00+00:00,1,0.8389658646,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 20:00:00+00:00,1,0.7890646465,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 21:00:00+00:00,1,0.7565124099,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 22:00:00+00:00,1,0.7440567309,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-07 23:00:00+00:00,1,0.6933966584,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 00:00:00+00:00,1,0.6501681255,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 01:00:00+00:00,1,0.6212662401,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 02:00:00+00:00,1,0.6046237783,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 03:00:00+00:00,1,0.5940390679,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 04:00:00+00:00,1,0.5946540016,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 05:00:00+00:00,1,0.5846188065,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 06:00:00+00:00,1,0.5766115843,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 07:00:00+00:00,1,0.6221951826,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 08:00:00+00:00,1,0.6781279847,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 09:00:00+00:00,1,0.7112820714,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 10:00:00+00:00,1,0.7300440921,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 11:00:00+00:00,1,0.7416624145,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 12:00:00+00:00,1,0.7449725897,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 13:00:00+00:00,1,0.726812419,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 14:00:00+00:00,1,0.7092540985,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 15:00:00+00:00,1,0.7103269616,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 16:00:00+00:00,1,0.7359448391,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 17:00:00+00:00,1,0.7967971111,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 18:00:00+00:00,1,0.7966139394,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 19:00:00+00:00,1,0.7682615693,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 20:00:00+00:00,1,0.7119624236,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 21:00:00+00:00,1,0.6824979393,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 22:00:00+00:00,1,0.6800643718,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-08 23:00:00+00:00,1,0.6337742539,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 00:00:00+00:00,1,0.5829702608,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 01:00:00+00:00,1,0.5473826065,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 02:00:00+00:00,1,0.5325326111,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 03:00:00+00:00,1,0.5295364446,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 04:00:00+00:00,1,0.532755034,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 05:00:00+00:00,1,0.5294710262,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 06:00:00+00:00,1,0.5062343813,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 07:00:00+00:00,1,0.5244207193,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 08:00:00+00:00,1,0.5645876673,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 09:00:00+00:00,1,0.6094909134,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 10:00:00+00:00,1,0.6505868038,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 11:00:00+00:00,1,0.6988263924,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 12:00:00+00:00,1,0.6981722076,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-09 13:00:00+00:00,1,0.6788737554,1,0.55,0.26,0.4,0.48,0.38,0.42
